dataset,reuse_target,actual_reuse,main_memory_gb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
scidocs,1.73,1.7295502304625683,4,opt,OPT,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,8,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,8,dram_lfu,DRAM LFU,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,8,opt,OPT,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,16,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,16,dram_lfu,DRAM LFU,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,16,opt,OPT,0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
quora,1.91,1.9085499219403081,1,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,1,dram_lfu,DRAM LFU,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,1,opt,OPT,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,2,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,2,dram_lfu,DRAM LFU,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,2,opt,OPT,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,4,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,4,dram_lfu,DRAM LFU,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,4,opt,OPT,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,8,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
quora,1.91,1.9085499219403081,8,dram_lfu,DRAM LFU,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
quora,1.91,1.9085499219403081,8,opt,OPT,0,476042,523958,0.476042,0.0,0.476042,0.523958,59.982620000000004,52397.425814332244,599.8262,523.9742581433225
