dataset,reuse_target,actual_reuse,main_memory_gb,global_buffer_mb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
hotpotqa,1.42,1.4196197122714767,4,128,lfu_l1_l2,LFU L1/L2,150319,145267,704414,0.295586,0.150319,0.145267,0.704414,55.294553649920005,70442.83779317263,552.9455364992,704.4283779317263
hotpotqa,1.42,1.4196197122714767,4,128,opt_two_tier,OPT L1/L2,182858,112728,704414,0.295586,0.182858,0.112728,0.704414,53.88911874944,70442.79709292507,538.8911874943999,704.4279709292508
hotpotqa,1.42,1.4196197122714767,8,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,8,128,lfu_l1,LFU L1 (SRAM),150319,0,849681,0.150319,0.150319,0.0,0.849681,56.74722364992,84969.53779317264,567.4722364992,849.6953779317264
hotpotqa,1.42,1.4196197122714767,8,128,lfu_l2,LFU L2 (DRAM),0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,8,128,lfu_l1_l2,LFU L1/L2,150319,145267,704414,0.295586,0.150319,0.145267,0.704414,55.294553649920005,70442.83779317263,552.9455364992,704.4283779317263
hotpotqa,1.42,1.4196197122714767,8,128,opt_two_tier,OPT L1/L2,182858,112728,704414,0.295586,0.182858,0.112728,0.704414,53.88911874944,70442.79709292507,538.8911874943999,704.4279709292508
hotpotqa,1.42,1.4196197122714767,16,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,16,128,lfu_l1,LFU L1 (SRAM),150319,0,849681,0.150319,0.150319,0.0,0.849681,56.74722364992,84969.53779317264,567.4722364992,849.6953779317264
hotpotqa,1.42,1.4196197122714767,16,128,lfu_l2,LFU L2 (DRAM),0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,16,128,lfu_l1_l2,LFU L1/L2,150319,145267,704414,0.295586,0.150319,0.145267,0.704414,55.294553649920005,70442.83779317263,552.9455364992,704.4283779317263
hotpotqa,1.42,1.4196197122714767,16,128,opt_two_tier,OPT L1/L2,182858,112728,704414,0.295586,0.182858,0.112728,0.704414,53.88911874944,70442.79709292507,538.8911874943999,704.4279709292508
scidocs,1.73,1.7295502304625683,1,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,1,128,lfu_l1,LFU L1 (SRAM),310628,0,689372,0.310628,0.310628,0.0,0.689372,48.220016023039996,68938.43727637785,482.20016023039994,689.3843727637785
scidocs,1.73,1.7295502304625683,1,128,lfu_l2,LFU L2 (DRAM),0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,1,128,lfu_l1_l2,LFU L1/L2,310628,111187,578185,0.421815,0.310628,0.111187,0.578185,47.10814602304001,57819.73727637785,471.0814602304,578.1973727637785
scidocs,1.73,1.7295502304625683,1,128,opt_two_tier,OPT L1/L2,341752,80063,578185,0.421815,0.341752,0.080063,0.578185,45.76382825536,57819.69834603257,457.63828255360005,578.1969834603258
scidocs,1.73,1.7295502304625683,2,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,2,128,lfu_l1,LFU L1 (SRAM),310628,0,689372,0.310628,0.310628,0.0,0.689372,48.220016023039996,68938.43727637785,482.20016023039994,689.3843727637785
scidocs,1.73,1.7295502304625683,2,128,lfu_l2,LFU L2 (DRAM),0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,2,128,lfu_l1_l2,LFU L1/L2,310628,111187,578185,0.421815,0.310628,0.111187,0.578185,47.10814602304001,57819.73727637785,471.0814602304,578.1973727637785
scidocs,1.73,1.7295502304625683,2,128,opt_two_tier,OPT L1/L2,341752,80063,578185,0.421815,0.341752,0.080063,0.578185,45.76382825536,57819.69834603257,457.63828255360005,578.1969834603258
scidocs,1.73,1.7295502304625683,4,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,4,128,lfu_l1,LFU L1 (SRAM),310628,0,689372,0.310628,0.310628,0.0,0.689372,48.220016023039996,68938.43727637785,482.20016023039994,689.3843727637785
scidocs,1.73,1.7295502304625683,4,128,lfu_l2,LFU L2 (DRAM),0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,4,128,lfu_l1_l2,LFU L1/L2,310628,111187,578185,0.421815,0.310628,0.111187,0.578185,47.10814602304001,57819.73727637785,471.0814602304,578.1973727637785
scidocs,1.73,1.7295502304625683,4,128,opt_two_tier,OPT L1/L2,341752,80063,578185,0.421815,0.341752,0.080063,0.578185,45.76382825536,57819.69834603257,457.63828255360005,578.1969834603258
scidocs,1.73,1.7295502304625683,8,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
scidocs,1.73,1.7295502304625683,8,128,lfu_l1,LFU L1 (SRAM),310628,0,689372,0.310628,0.310628,0.0,0.689372,48.220016023039996,68938.43727637785,482.20016023039994,689.3843727637785
scidocs,1.73,1.7295502304625683,8,128,lfu_l2,LFU L2 (DRAM),0,421815,578185,0.421815,0.0,0.421815,0.578185,60.524890000000006,57820.12581433225,605.2489,578.2012581433225
scidocs,1.73,1.7295502304625683,8,128,lfu_l1_l2,LFU L1/L2,310628,111187,578185,0.421815,0.310628,0.111187,0.578185,47.10814602304001,57819.73727637785,471.0814602304,578.1973727637785
scidocs,1.73,1.7295502304625683,8,128,opt_two_tier,OPT L1/L2,341752,80063,578185,0.421815,0.341752,0.080063,0.578185,45.76382825536,57819.69834603257,457.63828255360005,578.1969834603258
scidocs,1.73,1.7295502304625683,16,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
